Sample ID,CulvertID,Culvert Local X,Culvert Local Y,Width,Height,Sample Name
1,1,124,710,100,100,1.tif
2,2,9,400,100,100,2.tif
3,3,381,689,100,100,3.tif
4,4,97,35,100,100,4.tif
4,8,625.907951,85.97782,100,100,4.tif
4,9,580.49818,45.81952,100,100,4.tif
4,10,693.868152,30.68293,100,100,4.tif
4,11,300.934625,45.2017,100,100,4.tif
4,12,301.552445,30.06511,100,100,4.tif
4,13,122.693552,43.03933,100,100,4.tif
4,14,85.032304,41.75509,100,100,4.tif
5,5,513,27,100,100,5.tif
6,6,572,401,100,100,6.tif
7,7,569,329,100,100,7.tif
8,4,241.092049,150.02218,100,100,8.tif
8,8,770,201,100,100,8.tif
8,9,724.590229,160.8417,100,100,8.tif
8,11,445.026674,160.22388,100,100,8.tif
8,12,445.644494,145.08729,100,100,8.tif
8,13,266.785601,158.06151,100,100,8.tif
8,14,229.124353,156.77727,100,100,8.tif
9,4,241.50182,451.18048,100,100,9.tif
9,8,770.409771,502.1583,100,100,9.tif
9,9,725,462,100,100,9.tif
9,11,445.436445,461.38218,100,100,9.tif
9,12,446.054265,446.24559,100,100,9.tif
9,13,267.195372,459.21981,100,100,9.tif
9,14,229.534124,457.93557,100,100,9.tif
10,8,442.039799,149.29489,100,100,10.tif
10,9,396.630028,109.13659,100,100,10.tif
10,10,510,94,100,100,10.tif
10,11,117.066473,108.51877,100,100,10.tif
10,12,117.684293,93.38218,100,100,10.tif
11,4,383.065375,384.7983,100,100,11.tif
11,11,587,395,100,100,11.tif
11,12,587.61782,379.86341,100,100,11.tif
11,13,408.758927,392.83763,100,100,11.tif
11,14,371.097679,391.55339,100,100,11.tif
12,8,385.355506,184.91271,100,100,12.tif
12,9,339.945735,144.75441,100,100,12.tif
12,10,453.315707,129.61782,100,100,12.tif
12,11,60.38218,144.13659,100,100,12.tif
12,12,61,129,100,100,12.tif
13,4,446.306448,510.96067,100,100,13.tif
13,11,650.241073,521.16237,100,100,13.tif
13,12,650.858893,506.02578,100,100,13.tif
13,13,472,519,100,100,13.tif
13,14,434.338752,517.71576,100,100,13.tif
14,4,29.967696,600.24491,100,100,14.tif
14,8,558.875647,651.22273,100,100,14.tif
14,9,513.465876,611.06443,100,100,14.tif
14,10,626.835848,595.92784,100,100,14.tif
14,11,233.902321,610.44661,100,100,14.tif
14,12,234.520141,595.31002,100,100,14.tif
14,13,55.661248,608.28424,100,100,14.tif
14,14,18,607,100,100,14.tif
15,15,77,265,100,100,15.tif
16,16,63,764,100,100,16.tif
17,17,355,415,100,100,17.tif
17,18,218.021505,414.26749,100,100,17.tif
17,19,174.803691,433.31263,100,100,17.tif
18,17,457.978495,636.73251,100,100,18.tif
18,18,321,636,100,100,18.tif
18,19,277.782186,655.04514,100,100,18.tif
19,18,777.217814,584.95486,100,100,19.tif
19,19,734,604,100,100,19.tif
20,20,256,482,100,100,20.tif
21,20,115.563095,486.13231,100,100,21.tif
21,21,685,489,100,100,21.tif
22,22,556,167,100,100,22.tif
23,23,67,366,100,100,23.tif
24,24,440,607,100,100,24.tif
25,25,61,189,100,100,25.tif
25,43,696.839959,437.85637,100,100,25.tif
26,26,665,701,100,100,26.tif
27,25,95.602403,757.04449,100,100,27.tif
27,26,99.439619,475.54237,100,100,27.tif
27,27,740,227,100,100,27.tif
28,28,706,726,100,100,28.tif
28,30,735.485701,472.62634,100,100,28.tif
29,28,382.775758,112.08852,100,100,29.tif
29,29,685,114,100,100,29.tif
30,28,71.514299,765.37366,100,100,30.tif
30,29,373.738541,767.28514,100,100,30.tif
30,30,101,512,100,100,30.tif
31,31,176,70,100,100,31.tif
32,32,56,178,100,100,32.tif
33,33,390,610,100,100,33.tif
34,34,147,101,100,100,34.tif
35,35,322,78,100,100,35.tif
36,36,202,20,100,100,36.tif
37,37,368,103,100,100,37.tif
37,38,400.134141,110.43846,100,100,37.tif
37,39,292.127725,77.4117,100,100,37.tif
37,40,254.306927,17.48359,100,100,37.tif
38,37,674.865859,413.56154,100,100,38.tif
38,38,707,421,100,100,38.tif
38,39,598.993584,387.97324,100,100,38.tif
38,40,561.172786,328.04513,100,100,38.tif
39,37,372.872275,641.5883,100,100,39.tif
39,38,405.006416,649.02676,100,100,39.tif
39,39,297,616,100,100,39.tif
39,40,259.179202,556.07189,100,100,39.tif
40,37,741.693073,705.51641,100,100,40.tif
40,38,773.827214,712.95487,100,100,40.tif
40,39,665.820798,679.92811,100,100,40.tif
40,40,628,620,100,100,40.tif
41,41,762,607,100,100,41.tif
42,42,98,142,100,100,42.tif
43,43,181,518,100,100,43.tif
44,44,441,570,100,100,44.tif
45,45,535,513,100,100,45.tif
46,46,736,524,100,100,46.tif
46,47,49.94759,524.52923,100,100,46.tif
47,47,497,335,100,100,47.tif
48,48,21,151,100,100,48.tif
49,49,0,354,100,100,49.tif
50,50,324,438,100,100,50.tif
51,46,47.549501,132.56147,100,100,51.tif
51,51,714,139,100,100,51.tif
52,52,760,370,100,100,52.tif
53,52,474.775455,770.09001,100,100,53.tif
53,53,665,574,100,100,53.tif
54,54,714,104,100,100,54.tif
54,55,677.950448,186.35172,100,100,54.tif
55,54,148.049552,533.64828,100,100,55.tif
55,55,112,616,100,100,55.tif
56,56,119,318,100,100,56.tif
57,57,606,399,100,100,57.tif
57,58,41.563886,569.06826,100,100,57.tif
58,58,636,700,100,100,58.tif
59,59,539,301,100,100,59.tif
60,60,387,766,100,100,60.tif
61,61,617,453,100,100,61.tif
62,62,233,630,100,100,62.tif
62,63,368.632625,631.49299,100,100,62.tif
62,64,673.596177,80.88373,100,100,62.tif
63,63,41,114,100,100,63.tif
64,64,328,493,100,100,64.tif
64,65,330.980216,127.94891,100,100,64.tif
65,65,224,577,100,100,65.tif
66,66,218,42,100,100,66.tif
67,67,46,615,100,100,67.tif
68,68,574,105,100,100,68.tif
69,69,22,77,100,100,69.tif
70,70,90,308,100,100,70.tif
71,71,753,304,100,100,71.tif
72,72,352,683,100,100,72.tif
72,73,657.763569,686.26506,100,100,72.tif
73,71,338.10406,529.65408,100,100,73.tif
73,72,340.236431,203.73494,100,100,73.tif
73,73,646,207,100,100,73.tif
74,74,595,155,100,100,74.tif
75,75,297,319,100,100,75.tif
76,76,463,36,100,100,76.tif
77,77,130,148,100,100,77.tif
78,78,190,619,100,100,78.tif
79,78,498.109447,706.09134,100,100,79.tif
79,79,151,459,100,100,79.tif
80,80,691,261,100,100,80.tif
81,81,787,348,100,100,81.tif
82,82,94,230,100,100,82.tif
82,83,108.353771,171.15248,100,100,82.tif
82,87,231.174032,392.55722,100,100,82.tif
82,88,93.970355,337.93473,100,100,82.tif
83,82,54.646229,430.84752,100,100,83.tif
83,83,69,372,100,100,83.tif
83,84,69.293338,143.2873,100,100,83.tif
83,87,191.820261,593.40474,100,100,83.tif
83,88,54.616584,538.78225,100,100,83.tif
84,82,86.352891,293.56022,100,100,84.tif
84,83,100.706662,234.7127,100,100,84.tif
84,84,101,6,100,100,84.tif
84,87,223.526923,456.11744,100,100,84.tif
84,88,86.323246,401.49495,100,100,84.tif
85,84,500.160559,572.3912,100,100,85.tif
85,85,483,285,100,100,85.tif
85,86,500.092117,376.20206,100,100,85.tif
86,83,456.775104,778.90184,100,100,86.tif
86,84,457.068442,550.18914,100,100,86.tif
86,85,439.907883,262.79794,100,100,86.tif
86,86,457,354,100,100,86.tif
87,87,74,374,100,100,87.tif
88,82,370.029645,410.06527,100,100,88.tif
88,83,384.383416,351.21775,100,100,88.tif
88,84,384.676754,122.50505,100,100,88.tif
88,87,507.203677,572.62249,100,100,88.tif
88,88,370,518,100,100,88.tif
89,89,645,149,100,100,89.tif
89,90,696.396621,125.22906,100,100,89.tif
89,91,759.99994,111.41622,100,100,89.tif
90,89,426.603379,448.77094,100,100,90.tif
90,90,478,425,100,100,90.tif
90,91,541.603319,411.18716,100,100,90.tif
90,92,672.664702,319.95816,100,100,90.tif
90,93,685.192629,292.97493,100,100,90.tif
90,94,740.443996,322.20676,100,100,90.tif
91,89,268.00006,724.58378,100,100,91.tif
91,90,319.396681,700.81284,100,100,91.tif
91,91,383,687,100,100,91.tif
91,92,514.061383,595.771,100,100,91.tif
91,93,526.58931,568.78777,100,100,91.tif
91,94,581.840677,598.0196,100,100,91.tif
92,89,386.938677,314.81278,100,100,92.tif
92,90,438.335298,291.04184,100,100,92.tif
92,91,501.938617,277.229,100,100,92.tif
92,92,633,186,100,100,92.tif
92,93,645.527927,159.01677,100,100,92.tif
92,94,700.779294,188.2486,100,100,92.tif
93,90,33.807371,315.02507,100,100,93.tif
93,91,97.41069,301.21223,100,100,93.tif
93,92,228.472073,209.98323,100,100,93.tif
93,93,241,183,100,100,93.tif
93,94,296.251367,212.23183,100,100,93.tif
93,95,649.536361,213.56162,100,100,93.tif
94,89,40.159383,768.56418,100,100,94.tif
94,90,91.556004,744.79324,100,100,94.tif
94,91,155.159323,730.9804,100,100,94.tif
94,92,286.220706,639.7514,100,100,94.tif
94,93,298.748633,612.76817,100,100,94.tif
94,94,354,642,100,100,94.tif
94,95,707.284994,643.32979,100,100,94.tif
95,95,215,470,100,100,95.tif
96,96,55,387,100,100,96.tif
97,97,764,716,100,100,97.tif
97,98,593.021246,484.84337,100,100,97.tif
97,99,226.214144,510.01236,100,100,97.tif
98,98,780,628,100,100,98.tif
98,99,413.192898,653.16899,100,100,98.tif
98,100,58.351383,630.06303,100,100,98.tif
99,99,526,443,100,100,99.tif
99,100,171.158485,419.89404,100,100,99.tif
100,100,492,147,100,100,100.tif
101,101,405,653,100,100,101.tif
101,102,376.278725,402.01088,100,100,101.tif
101,103,368.341209,326.60448,100,100,101.tif
101,104,415.304845,146.02599,100,100,101.tif
102,97,73.975026,267.65379,100,100,102.tif
102,101,785.721275,270.98912,100,100,102.tif
102,102,757,20,100,100,102.tif
103,101,153.658791,762.39552,100,100,103.tif
103,102,124.937516,511.4064,100,100,103.tif
103,103,117,436,100,100,103.tif
103,104,163.963636,255.42151,100,100,103.tif
104,101,703.695155,552.97401,100,100,104.tif
104,102,674.97388,301.98489,100,100,104.tif
104,103,667.036364,226.57849,100,100,104.tif
104,104,714,46,100,100,104.tif
105,105,116,133,100,100,105.tif
105,106,557.493606,133,100,100,105.tif
106,101,180.066767,82.59355,100,100,106.tif
106,105,28.506394,728,100,100,106.tif
106,106,470,728,100,100,106.tif
107,107,616,299,100,100,107.tif
107,108,646.991326,249.41388,100,100,107.tif
108,107,693.008674,762.58612,100,100,108.tif
108,108,724,713,100,100,108.tif
108,109,716.460821,197.14248,100,100,108.tif
108,110,701.210888,176.80924,100,100,108.tif
108,111,713.007273,137.85313,100,100,108.tif
109,107,589.547853,696.44364,100,100,109.tif
109,108,620.539179,646.85752,100,100,109.tif
109,109,613,131,100,100,109.tif
109,110,597.750067,110.66676,100,100,109.tif
109,111,609.546452,71.71065,100,100,109.tif
110,107,299.797786,705.77688,100,100,110.tif
110,108,330.789112,656.19076,100,100,110.tif
110,109,323.249933,140.33324,100,100,110.tif
110,110,308,120,100,100,110.tif
110,111,319.796385,81.04389,100,100,110.tif
111,109,430.453548,749.28935,100,100,111.tif
111,110,415.203615,728.95611,100,100,111.tif
111,111,427,690,100,100,111.tif
112,112,56,310,100,100,112.tif
113,113,79,704,100,100,113.tif
114,114,136,299,100,100,114.tif
114,115,242.627297,284.71247,100,100,114.tif
114,116,110.599949,387.10643,100,100,114.tif
114,117,234.425197,384.72517,100,100,114.tif
115,115,102,161,100,100,115.tif
115,117,93.7979,261.0127,100,100,115.tif
116,114,58.400051,206.89357,100,100,116.tif
116,115,165.027348,192.60604,100,100,116.tif
116,116,33,295,100,100,116.tif
116,117,156.825248,292.61874,100,100,116.tif
117,114,298.574803,338.27483,100,100,117.tif
117,115,405.2021,323.9873,100,100,117.tif
117,116,273.174752,426.38126,100,100,117.tif
117,117,397,424,100,100,117.tif
118,118,20,629,100,100,118.tif
119,119,651,469,100,100,119.tif
120,120,380,47,100,100,120.tif
121,121,73,27,100,100,121.tif
122,122,583,464,100,100,122.tif
123,123,434,454,100,100,123.tif
124,124,264,567,100,100,124.tif
124,125,258.939834,310.13114,100,100,124.tif
125,124,799.060166,695.86886,100,100,125.tif
125,125,794,439,100,100,125.tif
125,126,164.78099,212.27643,100,100,125.tif
126,126,716,47,100,100,126.tif
127,127,307,290,100,100,127.tif
128,128,16,154,100,100,128.tif
129,129,258,159,100,100,129.tif
130,130,552,586,100,100,130.tif
131,129,794.855554,477.96079,100,100,131.tif
131,131,555,232,100,100,131.tif
132,132,67,47,100,100,132.tif
133,133,289,583,100,100,133.tif
134,134,494,41,100,100,134.tif
135,135,639,568,100,100,135.tif
136,136,756,102,100,100,136.tif
137,137,511,378,100,100,137.tif
137,138,646.559138,738.07641,100,100,137.tif
138,137,225.440862,300.92359,100,100,138.tif
138,138,361,661,100,100,138.tif
139,139,37,565,100,100,139.tif
139,151,475.217966,695.03473,100,100,139.tif
140,140,785,770,100,100,140.tif
140,141,785,770,100,100,140.tif
141,139,661.738202,775.45995,100,100,141.tif
141,140,487,737,100,100,141.tif
141,141,487,737,100,100,141.tif
142,142,428,314,100,100,142.tif
142,143,355.186521,373.06834,100,100,142.tif
143,142,720.813479,556.93166,100,100,143.tif
143,143,648,616,100,100,143.tif
144,144,316,232,100,100,144.tif
144,145,313.493623,278.12207,100,100,144.tif
145,144,490.506377,172.87793,100,100,145.tif
145,145,488,219,100,100,145.tif
146,146,631,484,100,100,146.tif
146,147,620.449177,468.41725,100,100,146.tif
146,149,216.277627,473.92597,100,100,146.tif
146,172,600.503152,68.05966,100,100,146.tif
147,146,456.550823,606.58275,100,100,147.tif
147,147,446,591,100,100,147.tif
147,149,41.82845,596.50872,100,100,147.tif
147,172,426.053975,190.64241,100,100,147.tif
148,148,591,512,100,100,148.tif
149,146,427.722373,463.07403,100,100,149.tif
149,147,417.17155,447.49128,100,100,149.tif
149,149,13,453,100,100,149.tif
149,172,397.225525,47.13369,100,100,149.tif
150,150,82,515,100,100,150.tif
151,151,77,607,100,100,151.tif
152,152,578,662,100,100,152.tif
152,153,712.130195,527.76144,100,100,152.tif
152,154,670.636783,510.77397,100,100,152.tif
153,152,415.869805,165.23856,100,100,153.tif
153,153,550,31,100,100,153.tif
153,154,508.506588,14.01253,100,100,153.tif
154,152,241.363217,187.22603,100,100,154.tif
154,153,375.493412,52.98747,100,100,154.tif
154,154,334,36,100,100,154.tif
155,155,256,48,100,100,155.tif
156,155,708.440672,698.28884,100,100,156.tif
156,156,709,639,100,100,156.tif
157,157,530,3,100,100,157.tif
158,158,174,735,100,100,158.tif
158,159,210.267188,527.80817,100,100,158.tif
159,158,86.732812,628.19183,100,100,159.tif
159,159,123,421,100,100,159.tif
160,160,782,432,100,100,160.tif
161,160,414.176793,523.5413,100,100,161.tif
161,161,440,486,100,100,161.tif
162,160,517.750896,273.98979,100,100,162.tif
162,161,543.574103,236.44849,100,100,162.tif
162,162,412,758,100,100,162.tif
163,163,704,247,100,100,163.tif
163,164,711.594536,145.07332,100,100,163.tif
164,164,507,756,100,100,164.tif
165,165,419,548,100,100,165.tif
166,166,290,314,100,100,166.tif
166,167,126.538884,312.41064,100,100,166.tif
167,166,292.461116,775.58936,100,100,167.tif
167,167,129,774,100,100,167.tif
168,168,167,11,100,100,168.tif
169,169,442,196,100,100,169.tif
170,170,294,682,100,100,170.tif
170,171,486.431016,718.42575,100,100,170.tif
171,170,566.568984,207.57425,100,100,171.tif
171,171,759,244,100,100,171.tif
172,146,77.496848,586.94034,100,100,172.tif
